title,company,location,salary_min,salary_max,salary_midpoint,years_experience,level,skills,source,posted_date
"Senior/Lead Platform Engineer (Databricks, MLops, AWS)",GoTymeX,Ho Chi Minh,0.0,0.0,0.0,0,Entry,"AWS, CI/CD, SQL, Python, Mlops, Databricks",ITviec,
Senior Data Engineer - Financial Crime,GoTymeX,Ho Chi Minh,0.0,0.0,0.0,0,Entry,"Databricks, Spark, Snowflake, SQL, Python, AWS, Data Engineering",ITviec,
Senior Data Scientist – ID2649,VPBank,Ha Noi,0.0,0.0,0.0,0,Entry,"Data Science, AI, Google Cloud, Azure, AWS, Python",ITviec,
Middle/Senior Java Engineer,NAB Innovation Centre Vietnam,Ho Chi Minh,0.0,0.0,0.0,0,Entry,"Java, AWS, Spring Boot, Microservices, Cloud, Spring",ITviec,
Lead Java Engineer,NAB Innovation Centre Vietnam,Ho Chi Minh,0.0,0.0,0.0,0,Entry,"Java, AWS, Spring, Spring Boot, Microservices, English",ITviec,
Solution Designer,NAB Innovation Centre Vietnam,Ho Chi Minh,0.0,0.0,0.0,0,Entry,"Software Architecture, React, Java, Microservices, Node.js, .NET",ITviec,
Senior Manager (Japanese Speaking),ITviec Recruitment Consulting,Ha Noi,0.0,0.0,0.0,0,Entry,"Project Management, Agile, Japanese It Communication, Japanese, Software Architecture, Lean Project Management",ITviec,
Security Engineer,Opes Insurance,Ha Noi,0.0,0.0,0.0,0,Entry,"Cybersecurity, Vmware, Firewall, Incident Response, Iso 27001, Security",ITviec,
Senior Digital Forensics & Incident Response (DFIR),MB Bank,Ha Noi,0.0,0.0,0.0,0,Entry,"Digital Forensics, Siem, Cloud Security, Malware Analysis, Incident Response",ITviec,
Senior Business Model Validation Analyst (BI),MB Bank,Ha Noi,0.0,0.0,0.0,0,Entry,"Data Analysis, Python, Power BI, Statistical Analysis, Big Data, Business Intelligence",ITviec,
[Young Talent] Data Science & Risk Modeling Spealist,MB Bank,Ha Noi,0.0,0.0,0.0,0,Entry,"Data Analysis, Risk Management, Tableau, Python, SQL, Power BI, Data Science",ITviec,
IT Governance Risk Compliance (GRC),EVF,Ha Noi,0.0,0.0,0.0,0,Entry,"Governance, Risk & Compliance, It Governance, Data Privacy / Compliance, Risk Management, Data Analysis",ITviec,
Senior System Integration Engineer (Linux/Security),SAVIS Vietnam,Ha Noi,0.0,0.0,0.0,0,Entry,"Linux, Kubernetes, Api, SQL, Security, System Admin",ITviec,
Expert Information Security,One Mount Group,Ha Noi,0.0,0.0,0.0,0,Entry,"Security, Information Security, Cloud",ITviec,
System & Network Engineer,SAVIS Vietnam,Ha Noi,0.0,0.0,0.0,0,Entry,"System Admin, Networking, AWS, Cisco, Vmware, Linux",ITviec,
